episode,rewards_total
1,-10.6586996906
2,-10.8516950997
3,-10.7699966368
4,-6.82227469064
5,116.734622213
6,118.0
7,-42.2149528353
8,-35.0829021807
9,-34.9418875916
10,-32.5388704731
11,-31.8997250745
12,-33.3621027902
13,-38.5824438974
14,-35.9026630419
15,-37.1136998886
16,-3.53588869402
17,-38.5114336952
18,-41.57753861
19,-11.8946430586
20,-14.4857340862
21,-10.761572195
22,-27.8426047492
23,-33.1115969695
24,-35.7853069921
25,-26.4084813574
26,-23.7480467425
27,-7.66024907405
28,-30.8619047663
29,-39.5338685536
30,-28.2080166989
31,-37.1335862083
32,-37.4712131006
33,-37.6048820772
34,-38.9381939076
35,-38.4623954789
36,-37.5035479308
37,-33.892249935
38,-20.2374656586
39,-20.1939267638
40,-22.479857442
41,-24.406329745
42,-39.6156437971
43,-35.5366505614
44,-30.8927987516
45,-23.4474222406
46,-25.469182998
47,-12.7632072641
48,-15.3401676122
49,-16.3837073251
50,-22.6407956225
51,-27.4275426582
52,-29.9424401069
53,-38.8082647791
54,-34.9807675665
55,-12.3210292424
56,7.59448999745
57,19.1871635151
58,14.4134483118
59,8.33193693353
60,10.4435772714
61,11.498251897
62,10.9324741336
63,34.0511096796
64,-18.5019618388
65,1.98169270402
66,-9.85180381262
67,-13.1298369786
68,236.148340689
69,-22.5181437396
70,210.924567445
71,88.9860797827
72,13.9278198512
73,9.48676911688
74,11.1656761057
75,16.1730093881
76,12.1024313624
77,10.3517193892
78,10.9756830906
79,23.6507369427
80,8.48017292321
81,10.2210432233
82,11.6791740003
83,15.0724898804
84,10.534312325
85,12.7461289621
86,11.1444690965
87,13.272676582
88,10.1411625203
89,-22.2379258328
90,-17.0645093412
91,19.9063610809
92,144.87188165
93,121.770307487
94,147.998846211
95,-25.6368484734
96,-5.50098682828
97,-34.7945332787
98,81.8378767309
99,17.2327074421
100,10.8366369291
101,12.1947697195
102,23.4252393251
103,11.2291787603
104,10.7406973467
105,10.9385980345
106,10.3211369727
107,-31.5333842685
108,-27.8293340047
109,-40.9689498325
110,-37.8125877499
111,-37.6197295024
112,-43.8001172036
113,-37.5697992637
114,-36.5673739171
115,-36.9473084841
116,-22.1116454261
117,-22.0136317118
118,-22.0422665942
119,-21.9862243612
120,-21.9683656487
121,-22.0394184689
122,-22.0754987349
123,-22.0445265837
124,-22.0438122783
125,-22.0882458479
126,-22.0758688432
127,-22.0887937751
128,-22.0547929087
129,-21.959779565
130,-22.1126014017
131,-22.0515914658
132,-22.0367572225
133,-22.0301435352
134,-21.9672418023
135,-21.9788666635
136,-25.0948721153
137,-8.90434853183
138,-22.564833339
139,-25.0307507736
140,-10.6997741313
141,-3.74848711898
142,-15.7676610153
143,-21.6951708743
144,-11.2798808351
145,16.7974346772
146,-13.4165949619
147,21.3825074719
148,16.1129483281
149,-22.1436251072
150,-14.7309908746
151,4.48249157643
152,-19.0100293775
153,0.397479784902
154,71.5948262113
155,7.58710493931
156,249.395053471
157,87.3413241395
158,144.805945681
159,-41.6267814398
160,166.0
161,-45.2694826931
162,-32.3858182002
163,-24.6709286707
164,-42.1719258286
165,-21.6704971623
166,-19.4097276603
167,-38.6748356848
168,-39.4086328837
169,-38.6198733381
170,-40.0305137312
171,-47.3441561451
172,-37.4761555859
173,-39.7964403944
174,-31.9279310949
175,-21.6175143274
176,-26.3157108441
177,-15.6825564807
178,-29.9321021661
179,-18.210055712
180,32.7078379227
181,65.1081479466
182,-37.7204155624
183,13.4771972016
184,-10.4670352708
185,252.0
186,252.0
187,252.0
188,252.0
189,24.6917520671
190,44.7834427508
191,83.7195263209
192,-4.15632446383
193,-18.706235234
194,-15.5234491377
195,17.7817354077
